id;title;description;type;isActive;
1;FREQUENCY.DAILY;FREQUENCY.DAILY.DESCRIPTION;1;1;
2;FREQUENCY.WEEKLY;FREQUENCY.WEEKLY.DESCRIPTION;2;1;
3;FREQUENCY.BIWEEKLY;FREQUENCY.BIWEEKLY.DESCRIPTION;3;1;
4;FREQUENCY.MONTHLY;FREQUENCY.MONTHLY.DESCRIPTION;4;1;
5;FREQUENCY.QUARTERLY;FREQUENCY.QUARTERLY.DESCRIPTION;5;1;
6;FREQUENCY.SEMIANNUAL;FREQUENCY.SEMIANNUAL.DESCRIPTION;6;1;
7;FREQUENCY.ANNUAL;FREQUENCY.ANNUAL.DESCRIPTION;7;1;
8;FREQUENCY.ONETIME;FREQUENCY.ONETIME.DESCRIPTION;8;1;
9;FREQUENCY.CUSTOM;FREQUENCY.CUSTOM.DESCRIPTION;9;1;
